0.005,104.7
0.01,92.2
0.015,91.2
0.02,93.8
0.025,92.3
0.03,91.8
0.035,92.1
0.04,90.8
0.045,91.7
0.05,90.5
0.055,90.9
0.06,89.4
0.065,93.1
0.07,92.7
0.075,93.0
0.08,91.0
0.085,92.6
0.09,92.3
0.095,91.8
0.1,91.5
0.105,90.6
0.11,91.5
0.115,93.5
0.12,90.0
0.125,93.9
0.13,99.1
0.135,98.9
0.14,97.1
0.145,94.6
0.15,91.7
0.155,92.9
0.16,94.2
0.165,92.7
0.17,94.0
0.175,93.2
0.18,91.3
0.185,91.3
0.19,89.7
0.195,93.4
0.2,91.7
0.205,92.4
0.21,96.4
0.215,95.6
0.22,95.7
0.225,96.6
0.23,96.6
0.235,96.6
0.24,95.7
0.245,95.0
0.25,91.3
