0.005,131.8
0.01,115.5
0.015,115.9
0.02,114.7
0.025,107.8
0.03,106.6
0.035,112.7
0.04,108.2
0.045,107.9
0.05,107.0
0.055,107.1
0.06,106.5
0.065,108.4
0.07,108.6
0.075,108.7
0.08,105.0
0.085,105.0
0.09,105.4
0.095,105.2
0.1,106.1
0.105,106.5
0.11,104.2
0.115,105.9
0.12,108.4
0.125,108.6
0.13,104.2
0.135,104.7
0.14,109.5
0.145,111.1
0.15,112.0
0.155,106.6
0.16,105.4
0.165,106.8
0.17,107.8
0.175,106.3
0.18,104.2
0.185,106.4
0.19,106.8
0.195,109.1
0.2,108.6
0.205,107.2
0.21,108.1
0.215,107.5
0.22,106.9
0.225,104.7
0.23,104.8
0.235,107.9
0.24,107.7
0.245,105.4
0.25,108.1
